index,name,subtitle,gimmick,playerHp,enemyHp,startEnergy,enemyInterval,threatScale,bossFirstTime,backColor,laneColor,laneInnerColor,lineColor
0,수성,가까운 첫 궤도,더스트와 스키터 적,2200,2500,190,2.36,0.96,42,101B22,1C3037,13262D,8A9EA8
1,금성,짙은 대기권,설퍼 원거리 적,2250,2850,205,2.18,1.05,39,191722,332936,241E2B,E0B16D
2,지구,푸른 방어선,모스 균형 웨이브,2350,3200,220,2.05,1.14,36,0E1D29,14303A,102731,56A7B7
3,화성,붉은 모래 전선,러스트 장갑 압박,2400,3550,230,1.98,1.24,33,1D1718,3A2528,291D20,DD7666
4,목성,자이언트 스톰 벨트,스톰 중심,2600,4200,250,1.90,1.36,30,1E1B16,3A3127,2B261F,D8A66A
5,토성,링 오비트 방어전,링 원거리전,2650,4650,260,1.78,1.48,28,171B20,2D3037,222731,CDBB83
6,천왕성,기울어진 얼음 궤도,프로스트 압박,2750,5200,275,1.68,1.62,25,101D22,19353A,122B31,80E5D4
7,해왕성,먼 푸른 심해,타이드 원거리 러시,2850,5850,290,1.56,1.78,23,101928,182C48,13243C,75A7FF
8,명왕성,가장 먼 어둠,보이드 중장갑과 빠른 보스,3000,6600,310,1.50,1.96,18,15171F,292637,211F2E,C8B7FF
9,태양,마지막 항성 전선,플레어 돌격과 솔라 보스,3300,7600,350,1.38,2.22,15,241613,4A2A1F,351F18,FFB347
